@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

car,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,145,25,0,85.294118,14.705882,0,0.667787,0.113727,0.227335,49.172195,66.843753,206.209367,81.436338,124.773029,1.212996,0.479037,0.733959,121.029807,0.71194,9928.813107,0.949153,112,0.192308,10,0.807692,42,0.050847,6,0.918033,0.949153,0.933333,0.979465,0.852941,0.158254,0.841746,0.147059,0.858119,0.852941,0.842654,0.971436,0.001,0.002,0,0,4773,133255,17060,?
car,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,153,18,0,89.473684,10.526316,0,0.762518,0.107731,0.218303,46.662513,64.316806,206.73301,75.953665,130.779345,1.208965,0.444173,0.764791,127.125192,0.743422,10424.993922,0.966387,115,0.153846,8,0.846154,44,0.033613,4,0.934959,0.966387,0.950413,0.988203,0.894737,0.124341,0.875659,0.105263,0.899111,0.894737,0.888245,0.986321,0.001,0.002,0,0.015625,4773,133170,17145,?
car,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,141,30,0,82.45614,17.54386,0,0.593083,0.116059,0.233029,50.269766,68.65559,206.73301,85.802237,120.930773,1.208965,0.501767,0.707198,117.171818,0.685215,9608.76023,0.957983,114,0.25,13,0.75,39,0.042017,5,0.897638,0.957983,0.926829,0.969942,0.824561,0.198878,0.801122,0.175439,0.805753,0.824561,0.810942,0.961859,0.001,0.002,0,0.015625,4773,133170,17145,?
car,4,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,145,26,0,84.795322,15.204678,0,0.668036,0.125343,0.238944,54.288985,70.395578,206.836811,89.370693,117.466118,1.209572,0.522636,0.686936,111.514846,0.652134,9145.313233,0.92437,110,0.153846,8,0.846154,44,0.07563,9,0.932203,0.92437,0.92827,0.974952,0.847953,0.135133,0.864867,0.152047,0.857693,0.847953,0.847166,0.963704,0,0.002,0,0,4773,133170,17145,?
car,4,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,146,25,0,85.380117,14.619883,0,0.672715,0.115332,0.22708,49.587807,66.35155,210.901717,83.29505,127.606666,1.233343,0.487106,0.746238,123.827897,0.72414,10177.1991,0.957627,113,0.169811,9,0.830189,44,0.042373,5,0.92623,0.957627,0.941667,0.982411,0.853801,0.143346,0.856654,0.146199,0.859425,0.853801,0.839321,0.978449,0.001,0.001,0,0,4773,133170,17145,?
car,4,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,153,18,0,89.473684,10.526316,0,0.770538,0.11892,0.229504,51.401165,67.457556,209.272262,85.422767,123.849495,1.223814,0.499548,0.724266,118.974372,0.695757,9769.804223,0.957983,114,0.096154,5,0.903846,47,0.042017,5,0.957983,0.957983,0.957983,0.985294,0.894737,0.085793,0.914207,0.105263,0.896185,0.894737,0.89347,0.975938,0.002,0.001,0.015625,0,4773,133170,17145,?
car,4,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,145,26,0,84.795322,15.204678,0,0.658735,0.119185,0.231391,51.515781,68.012228,209.272262,85.284631,123.987632,1.223814,0.498741,0.725074,119.683372,0.699903,9828.025038,0.94958,113,0.192308,10,0.807692,42,0.05042,6,0.918699,0.94958,0.933884,0.982547,0.847953,0.157719,0.842281,0.152047,0.845177,0.847953,0.842701,0.973621,0.001,0.002,0,0,4773,133170,17145,?
car,4,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,148,23,0,86.549708,13.450292,0,0.695941,0.115719,0.228446,50.017463,67.146747,209.272262,83.38297,125.889292,1.223814,0.48762,0.736195,121.090737,0.708133,9943.593529,0.966387,115,0.153846,8,0.846154,44,0.033613,4,0.934959,0.966387,0.950413,0.98788,0.865497,0.130704,0.869296,0.134503,0.861919,0.865497,0.854179,0.981154,0.001,0.002,0,0,4773,133170,17145,?
car,4,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,142,28,0,83.529412,16.470588,0,0.630721,0.12048,0.232933,52.370568,68.90303,204.579912,85.520182,119.059731,1.203411,0.50306,0.700351,113.766466,0.669215,9324.871815,0.92437,110,0.215686,11,0.784314,40,0.07563,9,0.909091,0.92437,0.916667,0.969352,0.835294,0.176887,0.823113,0.164706,0.838114,0.835294,0.832918,0.96393,0.001,0.002,0,0,4773,133255,17060,?
car,4,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,145,25,0,85.294118,14.705882,0,0.656204,0.107014,0.21984,46.517201,65.030032,204.579912,77.508509,127.071404,1.203411,0.455932,0.747479,124.224981,0.730735,10182.104282,0.966387,115,0.215686,11,0.784314,40,0.033613,4,0.912698,0.966387,0.938776,0.982369,0.852941,0.17321,0.82679,0.147059,0.816242,0.852941,0.83307,0.976283,0.001,0.002,0,0.015625,4773,133255,17060,?
